video,frame_id,id,x1,y1,x2,y2,status
class_1,30,4,32,729,234,886,Distracted
class_1,30,8,134,571,305,728,Focused
class_1,30,18,231,530,394,625,Distracted
class_1,30,14,287,447,420,544,Distracted
class_1,30,1,292,682,480,884,Distracted
class_1,30,13,324,631,520,757,Focused
class_1,30,12,398,514,522,622,Distracted
class_1,30,16,647,454,837,555,Focused
class_1,30,15,680,540,821,635,Focused
class_1,30,17,752,644,919,746,Distracted
class_1,30,0,794,754,986,929,Focused
class_1,30,10,857,536,972,650,Focused
class_1,30,3,947,594,1104,729,Distracted
class_1,30,2,1004,754,1189,925,Focused
class_1,30,9,1254,582,1417,786,Focused
class_1,30,6,1338,496,1488,619,Distracted
class_1,30,11,1482,608,1687,742,Focused
class_1,30,7,1475,758,1719,932,Focused
class_1,30,5,1707,761,1909,896,Distracted
class_1,60,4,32,729,234,886,Distracted
class_1,60,8,134,571,305,728,Focused
class_1,60,18,231,530,394,625,Distracted
class_1,60,14,287,447,420,544,Focused
class_1,60,1,292,682,480,884,Focused
class_1,60,13,324,631,520,757,Focused
class_1,60,12,398,514,522,622,Focused
class_1,60,16,647,454,837,555,Distracted
class_1,60,15,680,540,821,635,Focused
class_1,60,17,752,644,919,746,Distracted
class_1,60,0,794,754,986,929,Focused
class_1,60,10,857,536,972,650,Focused
class_1,60,3,947,594,1104,729,Distracted
class_1,60,2,1004,754,1189,925,Focused
class_1,60,9,1254,582,1417,786,Focused
class_1,60,6,1338,496,1488,619,Focused
class_1,60,11,1482,608,1687,742,Distracted
class_1,60,7,1475,758,1719,932,Focused
class_1,60,5,1707,761,1909,896,Distracted
class_1,90,4,32,729,234,886,Focused
class_1,90,8,134,571,305,728,Focused
class_1,90,18,231,530,394,625,Focused
class_1,90,14,287,447,420,544,Focused
class_1,90,1,292,682,480,884,Focused
class_1,90,13,324,631,520,757,Focused
class_1,90,12,398,514,522,622,Focused
class_1,90,16,647,454,837,555,Focused
class_1,90,15,680,540,821,635,Focused
class_1,90,17,752,644,919,746,Distracted
class_1,90,0,794,754,986,929,Focused
class_1,90,10,857,536,972,650,Focused
class_1,90,3,947,594,1104,729,Distracted
class_1,90,2,1004,754,1189,925,Focused
class_1,90,9,1254,582,1417,786,Focused
class_1,90,6,1338,496,1488,619,Focused
class_1,90,11,1482,608,1687,742,Distracted
class_1,90,7,1475,758,1719,932,Focused
class_1,90,5,1707,761,1909,896,Distracted
class_1,120,4,32,729,234,886,Focused
class_1,120,8,134,571,305,728,Focused
class_1,120,18,231,530,394,625,Distracted
class_1,120,14,287,447,420,544,Distracted
class_1,120,1,292,682,480,884,Focused
class_1,120,13,324,631,520,757,Focused
class_1,120,12,398,514,522,622,Focused
class_1,120,16,647,454,837,555,Focused
class_1,120,15,680,540,821,635,Focused
class_1,120,17,752,644,919,746,Distracted
class_1,120,0,794,754,986,929,Focused
class_1,120,10,857,536,972,650,Focused
class_1,120,3,947,594,1104,729,Focused
class_1,120,2,1004,754,1189,925,Focused
class_1,120,9,1254,582,1417,786,Focused
class_1,120,6,1338,496,1488,619,Focused
class_1,120,11,1482,608,1687,742,Distracted
class_1,120,7,1475,758,1719,932,Focused
class_1,120,5,1707,761,1909,896,Distracted
class_1,150,4,32,729,234,886,Focused
class_1,150,8,134,571,305,728,Focused
class_1,150,18,231,530,394,625,Distracted
class_1,150,14,287,447,420,544,Distracted
class_1,150,1,292,682,480,884,Focused
class_1,150,13,324,631,520,757,Focused
class_1,150,12,398,514,522,622,Distracted
class_1,150,16,647,454,837,555,Focused
class_1,150,15,680,540,821,635,Focused
class_1,150,17,752,644,919,746,Distracted
class_1,150,0,794,754,986,929,Focused
class_1,150,10,857,536,972,650,Focused
class_1,150,3,947,594,1104,729,Focused
class_1,150,2,1004,754,1189,925,Focused
class_1,150,9,1254,582,1417,786,Focused
class_1,150,6,1338,496,1488,619,Focused
class_1,150,11,1482,608,1687,742,Distracted
class_1,150,7,1475,758,1719,932,Focused
class_1,150,5,1707,761,1909,896,Focused
class_1,180,4,32,729,234,886,Focused
class_1,180,8,134,571,305,728,Focused
class_1,180,18,231,530,394,625,Distracted
class_1,180,14,287,447,420,544,Distracted
class_1,180,1,292,682,480,884,Focused
class_1,180,13,324,631,520,757,Focused
class_1,180,12,398,514,522,622,Distracted
class_1,180,16,647,454,837,555,Focused
class_1,180,15,680,540,821,635,Focused
class_1,180,17,752,644,919,746,Focused
class_1,180,0,794,754,986,929,Focused
class_1,180,10,857,536,972,650,Focused
class_1,180,3,947,594,1104,729,Focused
class_1,180,2,1004,754,1189,925,Focused
class_1,180,9,1254,582,1417,786,Focused
class_1,180,6,1338,496,1488,619,Distracted
class_1,180,11,1482,608,1687,742,Focused
class_1,180,7,1475,758,1719,932,Focused
class_1,180,5,1707,761,1909,896,Focused
class_1,210,4,32,729,234,886,Focused
class_1,210,8,134,571,305,728,Focused
class_1,210,18,231,530,394,625,Distracted
class_1,210,14,287,447,420,544,Distracted
class_1,210,1,292,682,480,884,Focused
class_1,210,13,324,631,520,757,Focused
class_1,210,12,398,514,522,622,Distracted
class_1,210,16,647,454,837,555,Focused
class_1,210,15,680,540,821,635,Focused
class_1,210,17,752,644,919,746,Focused
class_1,210,0,794,754,986,929,Focused
class_1,210,10,857,536,972,650,Focused
class_1,210,3,947,594,1104,729,Focused
class_1,210,2,1004,754,1189,925,Focused
class_1,210,9,1254,582,1417,786,Focused
class_1,210,6,1338,496,1488,619,Distracted
class_1,210,11,1482,608,1687,742,Distracted
class_1,210,7,1475,758,1719,932,Focused
class_1,210,5,1707,761,1909,896,Focused
class_1,240,4,32,729,234,886,Focused
class_1,240,8,134,571,305,728,Focused
class_1,240,18,231,530,394,625,Distracted
class_1,240,14,287,447,420,544,Distracted
class_1,240,1,292,682,480,884,Focused
class_1,240,13,324,631,520,757,Focused
class_1,240,12,398,514,522,622,Distracted
class_1,240,16,647,454,837,555,Focused
class_1,240,15,680,540,821,635,Focused
class_1,240,17,752,644,919,746,Focused
class_1,240,0,794,754,986,929,Focused
class_1,240,10,857,536,972,650,Focused
class_1,240,3,947,594,1104,729,Focused
class_1,240,2,1004,754,1189,925,Focused
class_1,240,9,1254,582,1417,786,Focused
class_1,240,6,1338,496,1488,619,Distracted
class_1,240,11,1482,608,1687,742,Focused
class_1,240,7,1475,758,1719,932,Focused
class_1,240,5,1707,761,1909,896,Focused
class_1,270,4,32,729,234,886,Focused
class_1,270,8,134,571,305,728,Focused
class_1,270,18,231,530,394,625,Distracted
class_1,270,14,287,447,420,544,Distracted
class_1,270,1,292,682,480,884,Focused
class_1,270,13,324,631,520,757,Distracted
class_1,270,12,398,514,522,622,Distracted
class_1,270,16,647,454,837,555,Focused
class_1,270,15,680,540,821,635,Focused
class_1,270,17,752,644,919,746,Focused
class_1,270,0,794,754,986,929,Focused
class_1,270,10,857,536,972,650,Focused
class_1,270,3,947,594,1104,729,Focused
class_1,270,2,1004,754,1189,925,Focused
class_1,270,9,1254,582,1417,786,Focused
class_1,270,6,1338,496,1488,619,Focused
class_1,270,11,1482,608,1687,742,Focused
class_1,270,7,1475,758,1719,932,Focused
class_1,270,5,1707,761,1909,896,Focused
class_1,300,4,32,729,234,886,Focused
class_1,300,8,134,571,305,728,Focused
class_1,300,18,231,530,394,625,Distracted
class_1,300,14,287,447,420,544,Distracted
class_1,300,1,292,682,480,884,Focused
class_1,300,13,324,631,520,757,Focused
class_1,300,12,398,514,522,622,Distracted
class_1,300,16,647,454,837,555,Focused
class_1,300,15,680,540,821,635,Focused
class_1,300,17,752,644,919,746,Focused
class_1,300,0,794,754,986,929,Focused
class_1,300,10,857,536,972,650,Focused
class_1,300,3,947,594,1104,729,Focused
class_1,300,2,1004,754,1189,925,Focused
class_1,300,9,1254,582,1417,786,Focused
class_1,300,6,1338,496,1488,619,Focused
class_1,300,11,1482,608,1687,742,Focused
class_1,300,7,1475,758,1719,932,Focused
class_1,300,5,1707,761,1909,896,Focused
class_1,330,4,32,729,234,886,Focused
class_1,330,8,134,571,305,728,Focused
class_1,330,18,231,530,394,625,Distracted
class_1,330,14,287,447,420,544,Distracted
class_1,330,1,292,682,480,884,Focused
class_1,330,13,324,631,520,757,Focused
class_1,330,12,398,514,522,622,Distracted
class_1,330,16,647,454,837,555,Focused
class_1,330,15,680,540,821,635,Focused
class_1,330,17,752,644,919,746,Focused
class_1,330,0,794,754,986,929,Focused
class_1,330,10,857,536,972,650,Focused
class_1,330,3,947,594,1104,729,Focused
class_1,330,2,1004,754,1189,925,Focused
class_1,330,9,1254,582,1417,786,Focused
class_1,330,6,1338,496,1488,619,Focused
class_1,330,11,1482,608,1687,742,Focused
class_1,330,7,1475,758,1719,932,Focused
class_1,330,5,1707,761,1909,896,Focused
class_1,360,4,32,729,234,886,Focused
class_1,360,8,134,571,305,728,Focused
class_1,360,18,231,530,394,625,Distracted
class_1,360,14,287,447,420,544,Distracted
class_1,360,1,292,682,480,884,Focused
class_1,360,13,324,631,520,757,Focused
class_1,360,12,398,514,522,622,Distracted
class_1,360,16,647,454,837,555,Focused
class_1,360,15,680,540,821,635,Focused
class_1,360,17,752,644,919,746,Focused
class_1,360,0,794,754,986,929,Focused
class_1,360,10,857,536,972,650,Focused
class_1,360,3,947,594,1104,729,Focused
class_1,360,2,1004,754,1189,925,Focused
class_1,360,9,1254,582,1417,786,Focused
class_1,360,6,1338,496,1488,619,Distracted
class_1,360,11,1482,608,1687,742,Focused
class_1,360,7,1475,758,1719,932,Focused
class_1,360,5,1707,761,1909,896,Focused
class_1,390,4,32,729,234,886,Focused
class_1,390,8,134,571,305,728,Focused
class_1,390,18,231,530,394,625,Distracted
class_1,390,14,287,447,420,544,Distracted
class_1,390,1,292,682,480,884,Focused
class_1,390,13,324,631,520,757,Focused
class_1,390,12,398,514,522,622,Distracted
class_1,390,16,647,454,837,555,Focused
class_1,390,15,680,540,821,635,Focused
class_1,390,17,752,644,919,746,Focused
class_1,390,0,794,754,986,929,Focused
class_1,390,10,857,536,972,650,Focused
class_1,390,3,947,594,1104,729,Focused
class_1,390,2,1004,754,1189,925,Focused
class_1,390,9,1254,582,1417,786,Focused
class_1,390,6,1338,496,1488,619,Distracted
class_1,390,11,1482,608,1687,742,Focused
class_1,390,7,1475,758,1719,932,Focused
class_1,390,5,1707,761,1909,896,Focused
class_1,420,4,32,729,234,886,Focused
class_1,420,8,134,571,305,728,Focused
class_1,420,18,231,530,394,625,Distracted
class_1,420,14,287,447,420,544,Distracted
class_1,420,1,292,682,480,884,Focused
class_1,420,13,324,631,520,757,Focused
class_1,420,12,398,514,522,622,Distracted
class_1,420,16,647,454,837,555,Focused
class_1,420,15,680,540,821,635,Focused
class_1,420,17,752,644,919,746,Focused
class_1,420,0,794,754,986,929,Focused
class_1,420,10,857,536,972,650,Focused
class_1,420,3,947,594,1104,729,Focused
class_1,420,2,1004,754,1189,925,Focused
class_1,420,9,1254,582,1417,786,Focused
class_1,420,6,1338,496,1488,619,Focused
class_1,420,11,1482,608,1687,742,Distracted
class_1,420,7,1475,758,1719,932,Distracted
class_1,420,5,1707,761,1909,896,Focused
class_1,449,4,32,729,234,886,Focused
class_1,449,8,134,571,305,728,Distracted
class_1,449,18,231,530,394,625,Distracted
class_1,449,14,287,447,420,544,Distracted
class_1,449,1,292,682,480,884,Focused
class_1,449,13,324,631,520,757,Focused
class_1,449,12,398,514,522,622,Distracted
class_1,449,16,647,454,837,555,Focused
class_1,449,15,680,540,821,635,Focused
class_1,449,17,752,644,919,746,Focused
class_1,449,0,794,754,986,929,Focused
class_1,449,10,857,536,972,650,Focused
class_1,449,3,947,594,1104,729,Focused
class_1,449,2,1004,754,1189,925,Focused
class_1,449,9,1254,582,1417,786,Focused
class_1,449,6,1338,496,1488,619,Distracted
class_1,449,11,1482,608,1687,742,Distracted
class_1,449,7,1475,758,1719,932,Focused
class_1,449,5,1707,761,1909,896,Focused
class_1,2,4,32,729,234,886,Focused
class_1,2,8,134,571,305,728,Focused
class_1,2,14,287,447,420,544,Distracted
class_1,2,1,292,682,480,884,Focused
class_1,2,13,324,631,520,757,Focused
class_1,2,12,398,514,522,622,Focused
class_1,2,16,647,454,837,555,Focused
class_1,2,15,680,540,821,635,Focused
class_1,2,17,752,644,919,746,Distracted
class_1,2,0,794,754,986,929,Focused
class_1,2,10,857,536,972,650,Focused
class_1,2,3,947,594,1104,729,Focused
class_1,2,2,1004,754,1189,925,Focused
class_1,2,9,1254,582,1417,786,Focused
class_1,2,6,1338,496,1488,619,Focused
class_1,2,11,1482,608,1687,742,Distracted
class_1,2,7,1475,758,1719,932,Focused
class_1,2,5,1707,761,1909,896,Focused
class_1,3,4,32,729,234,886,Focused
class_1,3,8,134,571,305,728,Focused
class_1,3,14,287,447,420,544,Distracted
class_1,3,1,292,682,480,884,Focused
class_1,3,13,324,631,520,757,Focused
class_1,3,12,398,514,522,622,Focused
class_1,3,16,647,454,837,555,Focused
class_1,3,15,680,540,821,635,Focused
class_1,3,17,752,644,919,746,Distracted
class_1,3,0,794,754,986,929,Focused
class_1,3,10,857,536,972,650,Focused
class_1,3,3,947,594,1104,729,Focused
class_1,3,2,1004,754,1189,925,Focused
class_1,3,9,1254,582,1417,786,Focused
class_1,3,6,1338,496,1488,619,Focused
class_1,3,11,1482,608,1687,742,Distracted
class_1,3,7,1475,758,1719,932,Focused
class_1,3,5,1707,761,1909,896,Focused
class_1,4,4,32,729,234,886,Focused
class_1,4,8,134,571,305,728,Focused
class_1,4,14,287,447,420,544,Distracted
class_1,4,1,292,682,480,884,Focused
class_1,4,13,324,631,520,757,Focused
class_1,4,12,398,514,522,622,Focused
class_1,4,16,647,454,837,555,Focused
class_1,4,15,680,540,821,635,Focused
class_1,4,17,752,644,919,746,Distracted
class_1,4,0,794,754,986,929,Focused
class_1,4,10,857,536,972,650,Focused
class_1,4,3,947,594,1104,729,Focused
class_1,4,2,1004,754,1189,925,Focused
class_1,4,9,1254,582,1417,786,Focused
class_1,4,6,1338,496,1488,619,Focused
class_1,4,11,1482,608,1687,742,Distracted
class_1,4,7,1475,758,1719,932,Focused
class_1,4,5,1707,761,1909,896,Focused
class_1,5,4,32,729,234,886,Focused
class_1,5,8,134,571,305,728,Focused
class_1,5,14,287,447,420,544,Distracted
class_1,5,1,292,682,480,884,Focused
class_1,5,13,324,631,520,757,Focused
class_1,5,12,398,514,522,622,Focused
class_1,5,16,647,454,837,555,Focused
class_1,5,15,680,540,821,635,Focused
class_1,5,17,752,644,919,746,Distracted
class_1,5,0,794,754,986,929,Focused
class_1,5,10,857,536,972,650,Focused
class_1,5,3,947,594,1104,729,Focused
class_1,5,2,1004,754,1189,925,Focused
class_1,5,9,1254,582,1417,786,Focused
class_1,5,6,1338,496,1488,619,Focused
class_1,5,11,1482,608,1687,742,Distracted
class_1,5,7,1475,758,1719,932,Focused
class_1,5,5,1707,761,1909,896,Focused
class_1,6,4,32,729,234,886,Focused
class_1,6,8,134,571,305,728,Focused
class_1,6,14,287,447,420,544,Distracted
class_1,6,1,292,682,480,884,Focused
class_1,6,13,324,631,520,757,Focused
class_1,6,12,398,514,522,622,Focused
class_1,6,16,647,454,837,555,Focused
class_1,6,15,680,540,821,635,Focused
class_1,6,17,752,644,919,746,Distracted
class_1,6,0,794,754,986,929,Focused
class_1,6,10,857,536,972,650,Focused
class_1,6,3,947,594,1104,729,Focused
class_1,6,2,1004,754,1189,925,Focused
class_1,6,9,1254,582,1417,786,Focused
class_1,6,6,1338,496,1488,619,Focused
class_1,6,11,1482,608,1687,742,Distracted
class_1,6,7,1475,758,1719,932,Focused
class_1,6,5,1707,761,1909,896,Focused
class_1,7,4,32,729,234,886,Focused
class_1,7,8,134,571,305,728,Focused
class_1,7,14,287,447,420,544,Distracted
class_1,7,1,292,682,480,884,Focused
class_1,7,13,324,631,520,757,Focused
class_1,7,12,398,514,522,622,Focused
class_1,7,16,647,454,837,555,Focused
class_1,7,15,680,540,821,635,Focused
class_1,7,17,752,644,919,746,Distracted
class_1,7,0,794,754,986,929,Focused
class_1,7,10,857,536,972,650,Focused
class_1,7,3,947,594,1104,729,Focused
class_1,7,2,1004,754,1189,925,Focused
class_1,7,9,1254,582,1417,786,Focused
class_1,7,6,1338,496,1488,619,Focused
class_1,7,11,1482,608,1687,742,Distracted
class_1,7,7,1475,758,1719,932,Focused
class_1,7,5,1707,761,1909,896,Focused
class_1,8,4,32,729,234,886,Focused
class_1,8,8,134,571,305,728,Focused
class_1,8,14,287,447,420,544,Distracted
class_1,8,1,292,682,480,884,Focused
class_1,8,13,324,631,520,757,Focused
class_1,8,12,398,514,522,622,Focused
class_1,8,16,647,454,837,555,Focused
class_1,8,15,680,540,821,635,Focused
class_1,8,17,752,644,919,746,Distracted
class_1,8,0,794,754,986,929,Focused
class_1,8,10,857,536,972,650,Focused
class_1,8,3,947,594,1104,729,Focused
class_1,8,2,1004,754,1189,925,Focused
class_1,8,9,1254,582,1417,786,Focused
class_1,8,6,1338,496,1488,619,Focused
class_1,8,11,1482,608,1687,742,Distracted
class_1,8,7,1475,758,1719,932,Focused
class_1,8,5,1707,761,1909,896,Focused
class_1,9,4,32,729,234,886,Focused
class_1,9,8,134,571,305,728,Focused
class_1,9,14,287,447,420,544,Distracted
class_1,9,1,292,682,480,884,Focused
class_1,9,13,324,631,520,757,Focused
class_1,9,12,398,514,522,622,Focused
class_1,9,16,647,454,837,555,Focused
class_1,9,15,680,540,821,635,Focused
class_1,9,17,752,644,919,746,Distracted
class_1,9,0,794,754,986,929,Focused
class_1,9,10,857,536,972,650,Focused
class_1,9,3,947,594,1104,729,Focused
class_1,9,2,1004,754,1189,925,Focused
class_1,9,9,1254,582,1417,786,Focused
class_1,9,6,1338,496,1488,619,Focused
class_1,9,11,1482,608,1687,742,Distracted
class_1,9,7,1475,758,1719,932,Focused
class_1,9,5,1707,761,1909,896,Focused
class_1,11,4,32,729,234,886,Focused
class_1,11,8,134,571,305,728,Focused
class_1,11,14,287,447,420,544,Distracted
class_1,11,1,292,682,480,884,Focused
class_1,11,13,324,631,520,757,Focused
class_1,11,12,398,514,522,622,Focused
class_1,11,16,647,454,837,555,Focused
class_1,11,15,680,540,821,635,Focused
class_1,11,17,752,644,919,746,Distracted
class_1,11,0,794,754,986,929,Focused
class_1,11,10,857,536,972,650,Focused
class_1,11,3,947,594,1104,729,Focused
class_1,11,2,1004,754,1189,925,Focused
class_1,11,9,1254,582,1417,786,Focused
class_1,11,6,1338,496,1488,619,Focused
class_1,11,11,1482,608,1687,742,Distracted
class_1,11,7,1475,758,1719,932,Focused
class_1,11,5,1707,761,1909,896,Focused
class_1,12,4,32,729,234,886,Focused
class_1,12,8,134,571,305,728,Focused
class_1,12,14,287,447,420,544,Distracted
class_1,12,1,292,682,480,884,Focused
class_1,12,13,324,631,520,757,Focused
class_1,12,12,398,514,522,622,Focused
class_1,12,16,647,454,837,555,Focused
class_1,12,15,680,540,821,635,Focused
class_1,12,17,752,644,919,746,Distracted
class_1,12,0,794,754,986,929,Focused
class_1,12,10,857,536,972,650,Focused
class_1,12,3,947,594,1104,729,Focused
class_1,12,2,1004,754,1189,925,Focused
class_1,12,9,1254,582,1417,786,Focused
class_1,12,6,1338,496,1488,619,Focused
class_1,12,11,1482,608,1687,742,Distracted
class_1,12,7,1475,758,1719,932,Focused
class_1,12,5,1707,761,1909,896,Focused
class_1,13,4,32,729,234,886,Focused
class_1,13,8,134,571,305,728,Focused
class_1,13,14,287,447,420,544,Distracted
class_1,13,1,292,682,480,884,Focused
class_1,13,13,324,631,520,757,Focused
class_1,13,12,398,514,522,622,Focused
class_1,13,16,647,454,837,555,Focused
class_1,13,15,680,540,821,635,Focused
class_1,13,17,752,644,919,746,Distracted
class_1,13,0,794,754,986,929,Focused
class_1,13,10,857,536,972,650,Focused
class_1,13,3,947,594,1104,729,Focused
class_1,13,2,1004,754,1189,925,Focused
class_1,13,9,1254,582,1417,786,Focused
class_1,13,6,1338,496,1488,619,Focused
class_1,13,11,1482,608,1687,742,Distracted
class_1,13,7,1475,758,1719,932,Focused
class_1,13,5,1707,761,1909,896,Focused
class_1,14,4,32,729,234,886,Focused
class_1,14,8,134,571,305,728,Focused
class_1,14,14,287,447,420,544,Distracted
class_1,14,1,292,682,480,884,Focused
class_1,14,13,324,631,520,757,Focused
class_1,14,12,398,514,522,622,Focused
class_1,14,16,647,454,837,555,Focused
class_1,14,15,680,540,821,635,Focused
class_1,14,17,752,644,919,746,Distracted
class_1,14,0,794,754,986,929,Focused
class_1,14,10,857,536,972,650,Focused
class_1,14,3,947,594,1104,729,Focused
class_1,14,2,1004,754,1189,925,Focused
class_1,14,9,1254,582,1417,786,Focused
class_1,14,6,1338,496,1488,619,Focused
class_1,14,11,1482,608,1687,742,Distracted
class_1,14,7,1475,758,1719,932,Focused
class_1,14,5,1707,761,1909,896,Focused
class_1,15,4,32,729,234,886,Focused
class_1,15,8,134,571,305,728,Focused
class_1,15,14,287,447,420,544,Distracted
class_1,15,1,292,682,480,884,Focused
class_1,15,13,324,631,520,757,Focused
class_1,15,12,398,514,522,622,Focused
class_1,15,16,647,454,837,555,Focused
class_1,15,15,680,540,821,635,Focused
class_1,15,17,752,644,919,746,Distracted
class_1,15,0,794,754,986,929,Focused
class_1,15,10,857,536,972,650,Focused
class_1,15,3,947,594,1104,729,Focused
class_1,15,2,1004,754,1189,925,Focused
class_1,15,9,1254,582,1417,786,Focused
class_1,15,6,1338,496,1488,619,Focused
class_1,15,11,1482,608,1687,742,Distracted
class_1,15,7,1475,758,1719,932,Focused
class_1,15,5,1707,761,1909,896,Focused
class_1,16,4,32,729,234,886,Focused
class_1,16,8,134,571,305,728,Focused
class_1,16,14,287,447,420,544,Distracted
class_1,16,1,292,682,480,884,Focused
class_1,16,13,324,631,520,757,Focused
class_1,16,12,398,514,522,622,Focused
class_1,16,16,647,454,837,555,Focused
class_1,16,15,680,540,821,635,Focused
class_1,16,17,752,644,919,746,Distracted
class_1,16,0,794,754,986,929,Focused
class_1,16,10,857,536,972,650,Focused
class_1,16,3,947,594,1104,729,Focused
class_1,16,2,1004,754,1189,925,Focused
class_1,16,9,1254,582,1417,786,Focused
class_1,16,6,1338,496,1488,619,Focused
class_1,16,11,1482,608,1687,742,Distracted
class_1,16,7,1475,758,1719,932,Focused
class_1,16,5,1707,761,1909,896,Focused
class_1,17,4,32,729,234,886,Focused
class_1,17,8,134,571,305,728,Focused
class_1,17,14,287,447,420,544,Distracted
class_1,17,1,292,682,480,884,Focused
class_1,17,13,324,631,520,757,Focused
class_1,17,12,398,514,522,622,Focused
class_1,17,16,647,454,837,555,Focused
class_1,17,15,680,540,821,635,Focused
class_1,17,17,752,644,919,746,Distracted
class_1,17,0,794,754,986,929,Focused
class_1,17,10,857,536,972,650,Focused
class_1,17,3,947,594,1104,729,Focused
class_1,17,2,1004,754,1189,925,Focused
class_1,17,9,1254,582,1417,786,Focused
class_1,17,6,1338,496,1488,619,Focused
class_1,17,11,1482,608,1687,742,Distracted
class_1,17,7,1475,758,1719,932,Focused
class_1,17,5,1707,761,1909,896,Focused
class_1,18,4,32,729,234,886,Focused
class_1,18,8,134,571,305,728,Focused
class_1,18,14,287,447,420,544,Distracted
class_1,18,1,292,682,480,884,Focused
class_1,18,13,324,631,520,757,Focused
class_1,18,12,398,514,522,622,Focused
class_1,18,16,647,454,837,555,Focused
class_1,18,15,680,540,821,635,Focused
class_1,18,17,752,644,919,746,Distracted
class_1,18,0,794,754,986,929,Focused
class_1,18,10,857,536,972,650,Focused
class_1,18,3,947,594,1104,729,Focused
class_1,18,2,1004,754,1189,925,Focused
class_1,18,9,1254,582,1417,786,Focused
class_1,18,6,1338,496,1488,619,Focused
class_1,18,11,1482,608,1687,742,Distracted
class_1,18,7,1475,758,1719,932,Focused
class_1,18,5,1707,761,1909,896,Focused
class_1,19,4,32,729,234,886,Focused
class_1,19,8,134,571,305,728,Focused
class_1,19,14,287,447,420,544,Distracted
class_1,19,1,292,682,480,884,Focused
class_1,19,13,324,631,520,757,Focused
class_1,19,12,398,514,522,622,Focused
class_1,19,16,647,454,837,555,Focused
class_1,19,15,680,540,821,635,Focused
class_1,19,17,752,644,919,746,Distracted
class_1,19,0,794,754,986,929,Focused
class_1,19,10,857,536,972,650,Focused
class_1,19,3,947,594,1104,729,Focused
class_1,19,2,1004,754,1189,925,Focused
class_1,19,9,1254,582,1417,786,Focused
class_1,19,6,1338,496,1488,619,Focused
class_1,19,11,1482,608,1687,742,Distracted
class_1,19,7,1475,758,1719,932,Focused
class_1,19,5,1707,761,1909,896,Focused
class_1,21,4,32,729,234,886,Focused
class_1,21,8,134,571,305,728,Focused
class_1,21,18,231,530,394,625,Focused
class_1,21,14,287,447,420,544,Distracted
class_1,21,1,292,682,480,884,Focused
class_1,21,13,324,631,520,757,Focused
class_1,21,12,398,514,522,622,Focused
class_1,21,16,647,454,837,555,Focused
class_1,21,15,680,540,821,635,Focused
class_1,21,17,752,644,919,746,Distracted
class_1,21,0,794,754,986,929,Focused
class_1,21,10,857,536,972,650,Focused
class_1,21,3,947,594,1104,729,Focused
class_1,21,2,1004,754,1189,925,Focused
class_1,21,9,1254,582,1417,786,Focused
class_1,21,6,1338,496,1488,619,Focused
class_1,21,11,1482,608,1687,742,Distracted
class_1,21,7,1475,758,1719,932,Focused
class_1,21,5,1707,761,1909,896,Focused
class_1,22,4,32,729,234,886,Focused
class_1,22,8,134,571,305,728,Focused
